iter	Passed	Remaining
0	150	150059
1	152	76024
2	154	51343
3	156	38927
4	157	31430
5	160	26618
6	163	23219
7	166	20604
8	168	18509
9	169	16807
10	171	15443
11	174	14332
12	176	13432
13	178	12594
14	180	11840
15	182	11223
16	184	10650
17	185	10131
18	187	9693
19	190	9357
20	192	8991
21	195	8671
22	196	8365
23	198	8063
24	199	7789
25	201	7533
26	202	7305
27	204	7084
28	205	6874
29	206	6675
30	210	6573
31	212	6415
32	214	6272
33	216	6144
34	217	6006
35	219	5875
36	222	5797
37	225	5711
38	227	5611
39	229	5513
40	232	5437
41	234	5338
42	235	5247
43	236	5147
44	239	5079
45	241	5002
46	243	4937
47	245	4862
48	246	4790
49	248	4717
50	251	4678
51	253	4620
52	256	4591
53	260	4568
54	262	4506
55	264	4452
56	266	4403
57	267	4341
58	268	4283
59	270	4233
60	271	4181
61	273	4135
62	275	4099
63	277	4059
64	279	4015
65	280	3968
66	282	3928
67	283	3886
68	285	3855
69	289	3847
70	291	3813
71	293	3784
72	295	3753
73	297	3719
74	298	3684
75	300	3651
76	301	3619
77	303	3583
78	304	3549
79	306	3522
80	308	3499
81	312	3497
82	313	3461
83	314	3434
84	316	3403
85	317	3375
86	319	3348
87	320	3320
88	321	3292
89	322	3265
90	324	3237
91	325	3212
92	326	3186
93	327	3161
94	329	3139
95	331	3124
96	333	3103
97	336	3094
98	338	3078
99	339	3056
100	340	3033
101	342	3013
102	343	2992
103	344	2967
104	345	2945
105	346	2921
106	347	2899
107	349	2884
108	350	2868
109	352	2855
110	354	2841
111	356	2829
112	358	2815
113	360	2799
114	362	2786
115	363	2769
116	364	2750
117	365	2733
118	367	2719
119	368	2701
120	369	2684
121	370	2667
122	372	2652
123	373	2639
124	374	2622
125	376	2608
126	378	2601
127	379	2587
128	381	2572
129	382	2558
130	383	2543
131	384	2528
132	385	2514
133	386	2499
134	387	2484
135	388	2469
136	390	2459
137	392	2452
138	394	2444
139	397	2438
140	398	2428
141	399	2412
142	400	2399
143	401	2387
144	402	2376
145	404	2363
146	405	2352
147	406	2341
148	407	2330
149	409	2319
150	410	2309
151	412	2300
152	413	2289
153	415	2280
154	416	2269
155	418	2263
156	419	2254
157	421	2245
158	422	2236
159	424	2226
160	424	2213
161	425	2203
162	427	2192
163	428	2182
164	429	2172
165	430	2163
166	431	2153
167	433	2144
168	434	2136
169	436	2132
170	438	2123
171	439	2115
172	440	2106
173	442	2099
174	443	2089
175	444	2080
176	445	2072
177	447	2064
178	448	2056
